Language,Level,Question,Option A,Option B,Option C,Option D,Correct Option
Swift,Intermediate,What are common data structures in Swift?,"Lists, dictionaries, sets, tuples","Functions, arrays, objects",None of the above,"Loops, arrays, classes",A
F#,Beginner,What is a list in F#?,A variable type for text,A function for grouping variables,A data structure that stores ordered elements,A way to store numbers,C
Dart,Intermediate,How do you handle errors in Dart?,Try-except blocks,If-else statements,Error-handling functions,None of the above,A
Go,Beginner,What is the syntax for a loop in Go?,for i = 0; i < 10; i++,loop i in 10,while i < 10:,for i in range(10):,D
R,Beginner,What is the syntax for a basic R program?,System.out.println('Hello World'),print('Hello World'),console.log('Hello World'),echo 'Hello World',B
MATLAB,Beginner,What are variables in MATLAB?,Used for program flow,Used for function definitions,Used for user input,Used to store data,D
PHP,Beginner,How do you import modules in PHP?,include module_name,using module_name,import module_name,require module_name,C
R,Intermediate,How do you handle errors in R?,If-else statements,Error-handling functions,Try-except blocks,None of the above,C
Lua,Intermediate,Explain functions in Lua.,Functions are reusable blocks of code,Functions are used to store variables,Functions are used for file I/O,Functions handle user input,A
Groovy,Advanced,Explain multithreading or asynchronous operations in Groovy.,Executes one task at a time,Handles memory management,Allows multiple tasks to run concurrently,None of the above,C
TypeScript,Advanced,Discuss performance optimization techniques in TypeScript.,Avoid using any loops,Write all code in one function,"Optimize algorithms, reduce time complexity",Use only built-in functions,C
Swift,Beginner,What is the difference between a string and an integer in Swift?,"An integer is a whole number, a string is text",There is no difference,"A string is a number, and an integer is text",A string is a sequence of characters,A
React,Intermediate,Explain the concept of scope in React.,Scope is how fast a program runs,Scope defines where variables can be accessed,None of the above,Scope is the time limit for variable usage,B
Go,Advanced,How does memory management work in Go?,Memory management is handled by users,None of the above,It involves allocation and deallocation of memory,It involves printing memory addresses,C
R,Intermediate,What are common data structures in R?,"Lists, dictionaries, sets, tuples","Loops, arrays, classes","Functions, arrays, objects",None of the above,A
R,Beginner,What is a list in R?,A function for grouping variables,A data structure that stores ordered elements,A way to store numbers,A variable type for text,B
Dart,Advanced,Discuss performance optimization techniques in Dart.,"Optimize algorithms, reduce time complexity",Avoid using any loops,Use only built-in functions,Write all code in one function,A
Swift,Intermediate,How do you define a class in Swift?,class ClassName:,function ClassName() {},class: ClassName,define ClassName(),A
Haskell,Advanced,Explain multithreading or asynchronous operations in Haskell.,Executes one task at a time,None of the above,Allows multiple tasks to run concurrently,Handles memory management,C
Bash,Advanced,What is garbage collection in Bash?,None of the above,Automatic memory management system,A method for checking memory leaks,A manual process for freeing memory,B
Elixir,Beginner,How do you define a function in Elixir?,def function_name():,function_name() = {},function function_name(){},function_name(){},A
Perl,Intermediate,How do you define a class in Perl?,define ClassName(),class ClassName:,class: ClassName,function ClassName() {},B
R,Beginner,How do you import modules in R?,using module_name,import module_name,include module_name,require module_name,B
MATLAB,Advanced,What are advanced use cases for MATLAB?,"High-performance computing, data analysis, AI",File system management,None of the above,Basic website scripting,A
Elixir,Intermediate,What are common data structures in Elixir?,"Functions, arrays, objects",None of the above,"Lists, dictionaries, sets, tuples","Loops, arrays, classes",C
COBOL,Advanced,What are advanced use cases for COBOL?,"High-performance computing, data analysis, AI",Basic website scripting,None of the above,File system management,A
Go,Intermediate,What are common data structures in Go?,"Loops, arrays, classes","Lists, dictionaries, sets, tuples",None of the above,"Functions, arrays, objects",B
SQL,Intermediate,How do you handle errors in SQL?,Try-except blocks,None of the above,Error-handling functions,If-else statements,A
Objective-C,Beginner,What does the print function do in Objective-C?,Stores data,Writes a value to a file,Returns a value,Displays a value on the screen,D
Bash,Beginner,How do you import modules in Bash?,require module_name,import module_name,using module_name,include module_name,B
HTML & CSS,Advanced,Discuss performance optimization techniques in HTML & CSS.,Write all code in one function,Avoid using any loops,"Optimize algorithms, reduce time complexity",Use only built-in functions,C
React,Beginner,What does the print function do in React?,Returns a value,Displays a value on the screen,Stores data,Writes a value to a file,B
Haskell,Intermediate,How do you handle errors in Haskell?,If-else statements,Try-except blocks,Error-handling functions,None of the above,B
Python,Intermediate,Explain the concept of scope in Python.,None of the above,Scope is how fast a program runs,Scope defines where variables can be accessed,Scope is the time limit for variable usage,C
HTML & CSS,Beginner,How do you write comments in HTML & CSS?,// comment,comment(),/* comment */,# comment,D
Ruby,Beginner,How do you define a function in Ruby?,function_name(){},def function_name():,function_name() = {},function function_name(){},B
F#,Advanced,What is garbage collection in F#?,A method for checking memory leaks,A manual process for freeing memory,Automatic memory management system,None of the above,C
SQL,Advanced,What are advanced use cases for SQL?,Basic website scripting,"High-performance computing, data analysis, AI",File system management,None of the above,B
Objective-C,Advanced,How does memory management work in Objective-C?,It involves allocation and deallocation of memory,Memory management is handled by users,It involves printing memory addresses,None of the above,A
Kotlin,Advanced,What is garbage collection in Kotlin?,Automatic memory management system,A manual process for freeing memory,A method for checking memory leaks,None of the above,A
SQL,Advanced,How does memory management work in SQL?,Memory management is handled by users,It involves allocation and deallocation of memory,None of the above,It involves printing memory addresses,B
Kotlin,Beginner,How do you import modules in Kotlin?,import module_name,using module_name,require module_name,include module_name,A
Groovy,Advanced,What is garbage collection in Groovy?,None of the above,A method for checking memory leaks,Automatic memory management system,A manual process for freeing memory,C
MATLAB,Advanced,Discuss performance optimization techniques in MATLAB.,Use only built-in functions,Write all code in one function,"Optimize algorithms, reduce time complexity",Avoid using any loops,C
SQL,Beginner,How do you import modules in SQL?,include module_name,require module_name,import module_name,using module_name,C
HTML & CSS,Intermediate,How do you define a class in HTML & CSS?,class ClassName:,function ClassName() {},define ClassName(),class: ClassName,A
C++,Beginner,What is the difference between a string and an integer in C++?,"An integer is a whole number, a string is text","A string is a number, and an integer is text",There is no difference,A string is a sequence of characters,A
R,Intermediate,How do you handle errors in R?,Error-handling functions,Try-except blocks,None of the above,If-else statements,B
Dart,Advanced,Discuss performance optimization techniques in Dart.,Write all code in one function,"Optimize algorithms, reduce time complexity",Avoid using any loops,Use only built-in functions,B
Objective-C,Advanced,How does memory management work in Objective-C?,None of the above,It involves printing memory addresses,It involves allocation and deallocation of memory,Memory management is handled by users,C
JavaScript,Beginner,What is the difference between a string and an integer in JavaScript?,A string is a sequence of characters,There is no difference,"A string is a number, and an integer is text","An integer is a whole number, a string is text",D
Ruby,Intermediate,How do you handle errors in Ruby?,Try-except blocks,Error-handling functions,None of the above,If-else statements,A
Haskell,Intermediate,Explain the concept of scope in Haskell.,None of the above,Scope is the time limit for variable usage,Scope is how fast a program runs,Scope defines where variables can be accessed,D
Elixir,Advanced,What are advanced use cases for Elixir?,None of the above,"High-performance computing, data analysis, AI",Basic website scripting,File system management,B
C#,Advanced,How does memory management work in C#?,Memory management is handled by users,None of the above,It involves printing memory addresses,It involves allocation and deallocation of memory,D
Ruby,Beginner,What is an array in Ruby?,A collection of elements of the same type,A set of variables,A collection of functions,A list of random values,A
Julia,Advanced,What are advanced use cases for Julia?,File system management,Basic website scripting,"High-performance computing, data analysis, AI",None of the above,C
PHP,Beginner,What is a list in PHP?,A way to store numbers,A function for grouping variables,A data structure that stores ordered elements,A variable type for text,C
Ruby,Intermediate,How do you handle errors in Ruby?,Error-handling functions,If-else statements,None of the above,Try-except blocks,D
MATLAB,Beginner,How do you import modules in MATLAB?,using module_name,require module_name,include module_name,import module_name,D
Dart,Intermediate,What are common data structures in Dart?,"Loops, arrays, classes",None of the above,"Functions, arrays, objects","Lists, dictionaries, sets, tuples",D
Kotlin,Advanced,How does memory management work in Kotlin?,Memory management is handled by users,None of the above,It involves allocation and deallocation of memory,It involves printing memory addresses,C
C,Beginner,What is the syntax for a basic C program?,console.log('Hello World'),print('Hello World'),System.out.println('Hello World'),echo 'Hello World',B
Haskell,Advanced,What are advanced use cases for Haskell?,None of the above,"High-performance computing, data analysis, AI",Basic website scripting,File system management,B
TypeScript,Intermediate,How do you handle errors in TypeScript?,If-else statements,Try-except blocks,Error-handling functions,None of the above,B
JavaScript,Beginner,How do you write comments in JavaScript?,# comment,/* comment */,comment(),// comment,A
Elixir,Intermediate,How do you define a class in Elixir?,define ClassName(),class: ClassName,class ClassName:,function ClassName() {},C
Python,Advanced,Discuss performance optimization techniques in Python.,"Optimize algorithms, reduce time complexity",Write all code in one function,Avoid using any loops,Use only built-in functions,A
Julia,Intermediate,Explain functions in Julia.,Functions are used for file I/O,Functions handle user input,Functions are used to store variables,Functions are reusable blocks of code,D
Go,Beginner,How do you define a function in Go?,function_name(){},def function_name():,function function_name(){},function_name() = {},B
F#,Advanced,Explain multithreading or asynchronous operations in F#.,Handles memory management,Executes one task at a time,Allows multiple tasks to run concurrently,None of the above,C
C#,Advanced,Discuss performance optimization techniques in C#.,"Optimize algorithms, reduce time complexity",Write all code in one function,Avoid using any loops,Use only built-in functions,A
TypeScript,Beginner,How do you write comments in TypeScript?,# comment,/* comment */,// comment,comment(),A
Julia,Advanced,What is garbage collection in Julia?,A manual process for freeing memory,Automatic memory management system,A method for checking memory leaks,None of the above,B
COBOL,Advanced,What are advanced use cases for COBOL?,Basic website scripting,File system management,None of the above,"High-performance computing, data analysis, AI",D
Bash,Beginner,How do you import modules in Bash?,include module_name,import module_name,require module_name,using module_name,B
Groovy,Intermediate,Explain functions in Groovy.,Functions are reusable blocks of code,Functions are used to store variables,Functions are used for file I/O,Functions handle user input,A
TypeScript,Advanced,Discuss performance optimization techniques in TypeScript.,Avoid using any loops,"Optimize algorithms, reduce time complexity",Use only built-in functions,Write all code in one function,B
Perl,Intermediate,Explain functions in Perl.,Functions handle user input,Functions are used to store variables,Functions are used for file I/O,Functions are reusable blocks of code,D
Ruby,Beginner,What does the print function do in Ruby?,Stores data,Writes a value to a file,Returns a value,Displays a value on the screen,D
React,Intermediate,Explain the concept of scope in React.,Scope defines where variables can be accessed,None of the above,Scope is how fast a program runs,Scope is the time limit for variable usage,A
Objective-C,Intermediate,Explain functions in Objective-C.,Functions handle user input,Functions are reusable blocks of code,Functions are used for file I/O,Functions are used to store variables,B
TypeScript,Advanced,Discuss performance optimization techniques in TypeScript.,Avoid using any loops,"Optimize algorithms, reduce time complexity",Write all code in one function,Use only built-in functions,B
React,Beginner,What is an array in React?,A collection of elements of the same type,A collection of functions,A set of variables,A list of random values,A
Go,Beginner,What is an array in Go?,A list of random values,A collection of elements of the same type,A collection of functions,A set of variables,B
Perl,Intermediate,What are common data structures in Perl?,None of the above,"Functions, arrays, objects","Lists, dictionaries, sets, tuples","Loops, arrays, classes",C
Go,Intermediate,How do you handle errors in Go?,None of the above,Error-handling functions,If-else statements,Try-except blocks,D
Java,Advanced,Discuss performance optimization techniques in Java.,Write all code in one function,"Optimize algorithms, reduce time complexity",Use only built-in functions,Avoid using any loops,B
Perl,Intermediate,Explain functions in Perl.,Functions handle user input,Functions are used for file I/O,Functions are used to store variables,Functions are reusable blocks of code,D
Bash,Advanced,Discuss performance optimization techniques in Bash.,Avoid using any loops,"Optimize algorithms, reduce time complexity",Write all code in one function,Use only built-in functions,B
Rust,Advanced,Discuss performance optimization techniques in Rust.,Write all code in one function,"Optimize algorithms, reduce time complexity",Use only built-in functions,Avoid using any loops,B
Ruby,Advanced,What are advanced use cases for Ruby?,Basic website scripting,None of the above,File system management,"High-performance computing, data analysis, AI",D
Dart,Advanced,Explain multithreading or asynchronous operations in Dart.,Handles memory management,None of the above,Allows multiple tasks to run concurrently,Executes one task at a time,C
Rust,Intermediate,How do you define a class in Rust?,function ClassName() {},class ClassName:,define ClassName(),class: ClassName,B
Elixir,Advanced,Explain multithreading or asynchronous operations in Elixir.,Handles memory management,None of the above,Allows multiple tasks to run concurrently,Executes one task at a time,C
Dart,Beginner,How do you define a function in Dart?,function_name(){},def function_name():,function_name() = {},function function_name(){},B
R,Beginner,What are variables in R?,Used for user input,Used to store data,Used for program flow,Used for function definitions,B
Kotlin,Intermediate,How do you define a class in Kotlin?,function ClassName() {},define ClassName(),class ClassName:,class: ClassName,C
TypeScript,Intermediate,Explain the concept of scope in TypeScript.,Scope defines where variables can be accessed,Scope is how fast a program runs,None of the above,Scope is the time limit for variable usage,A
Rust,Beginner,What is an array in Rust?,A collection of functions,A set of variables,A list of random values,A collection of elements of the same type,D
Haskell,Advanced,What are advanced use cases for Haskell?,Basic website scripting,"High-performance computing, data analysis, AI",File system management,None of the above,B
C++,Advanced,Discuss performance optimization techniques in C++.,"Optimize algorithms, reduce time complexity",Use only built-in functions,Avoid using any loops,Write all code in one function,A
JavaScript,Advanced,Discuss performance optimization techniques in JavaScript.,Use only built-in functions,"Optimize algorithms, reduce time complexity",Write all code in one function,Avoid using any loops,B
JavaScript,Advanced,Discuss performance optimization techniques in JavaScript.,Write all code in one function,"Optimize algorithms, reduce time complexity",Avoid using any loops,Use only built-in functions,B
React,Advanced,Discuss performance optimization techniques in React.,Use only built-in functions,"Optimize algorithms, reduce time complexity",Write all code in one function,Avoid using any loops,B
Java,Intermediate,Explain functions in Java.,Functions are reusable blocks of code,Functions are used to store variables,Functions handle user input,Functions are used for file I/O,A
R,Intermediate,How do you define a class in R?,class: ClassName,class ClassName:,function ClassName() {},define ClassName(),B
Objective-C,Intermediate,How do you handle errors in Objective-C?,Error-handling functions,None of the above,Try-except blocks,If-else statements,C
C,Beginner,What is the syntax for a basic C program?,console.log('Hello World'),print('Hello World'),echo 'Hello World',System.out.println('Hello World'),B
Python,Intermediate,What are common data structures in Python?,None of the above,"Functions, arrays, objects","Lists, dictionaries, sets, tuples","Loops, arrays, classes",C
TypeScript,Advanced,Explain multithreading or asynchronous operations in TypeScript.,None of the above,Handles memory management,Allows multiple tasks to run concurrently,Executes one task at a time,C
F#,Advanced,What are advanced use cases for F#?,None of the above,File system management,Basic website scripting,"High-performance computing, data analysis, AI",D
C++,Intermediate,Explain functions in C++.,Functions handle user input,Functions are used to store variables,Functions are used for file I/O,Functions are reusable blocks of code,D
Dart,Intermediate,How do you handle errors in Dart?,Try-except blocks,None of the above,If-else statements,Error-handling functions,A
Julia,Advanced,Discuss performance optimization techniques in Julia.,Use only built-in functions,Write all code in one function,Avoid using any loops,"Optimize algorithms, reduce time complexity",D
MATLAB,Beginner,What is the syntax for a loop in MATLAB?,while i < 10:,for i = 0; i < 10; i++,loop i in 10,for i in range(10):,D
Rust,Intermediate,How do you define a class in Rust?,define ClassName(),class ClassName:,class: ClassName,function ClassName() {},B
Go,Intermediate,What are common data structures in Go?,"Loops, arrays, classes",None of the above,"Lists, dictionaries, sets, tuples","Functions, arrays, objects",C
HTML & CSS,Advanced,Explain multithreading or asynchronous operations in HTML & CSS.,Allows multiple tasks to run concurrently,None of the above,Handles memory management,Executes one task at a time,A
Kotlin,Intermediate,Explain functions in Kotlin.,Functions are used to store variables,Functions are used for file I/O,Functions handle user input,Functions are reusable blocks of code,D
Groovy,Intermediate,How do you define a class in Groovy?,function ClassName() {},class ClassName:,define ClassName(),class: ClassName,B
TypeScript,Intermediate,Explain functions in TypeScript.,Functions are used to store variables,Functions are reusable blocks of code,Functions handle user input,Functions are used for file I/O,B
Julia,Beginner,What is the syntax for a basic Julia program?,console.log('Hello World'),System.out.println('Hello World'),print('Hello World'),echo 'Hello World',C
JavaScript,Beginner,What is the syntax for a basic JavaScript program?,console.log('Hello World'),echo 'Hello World',System.out.println('Hello World'),print('Hello World'),D
MATLAB,Advanced,Explain multithreading or asynchronous operations in MATLAB.,Handles memory management,Executes one task at a time,None of the above,Allows multiple tasks to run concurrently,D
Haskell,Intermediate,Explain the concept of scope in Haskell.,None of the above,Scope is how fast a program runs,Scope defines where variables can be accessed,Scope is the time limit for variable usage,C
HTML & CSS,Advanced,What are advanced use cases for HTML & CSS?,File system management,None of the above,"High-performance computing, data analysis, AI",Basic website scripting,C
Rust,Advanced,Discuss performance optimization techniques in Rust.,"Optimize algorithms, reduce time complexity",Use only built-in functions,Avoid using any loops,Write all code in one function,A
Julia,Advanced,Explain multithreading or asynchronous operations in Julia.,Executes one task at a time,Allows multiple tasks to run concurrently,Handles memory management,None of the above,B
Dart,Intermediate,Explain functions in Dart.,Functions are reusable blocks of code,Functions are used to store variables,Functions are used for file I/O,Functions handle user input,A
MATLAB,Intermediate,How do you handle errors in MATLAB?,If-else statements,Try-except blocks,Error-handling functions,None of the above,B
C,Advanced,Discuss performance optimization techniques in C.,"Optimize algorithms, reduce time complexity",Avoid using any loops,Use only built-in functions,Write all code in one function,A
C++,Intermediate,How do you handle errors in C++?,If-else statements,Try-except blocks,None of the above,Error-handling functions,B
Objective-C,Intermediate,How do you handle errors in Objective-C?,Error-handling functions,Try-except blocks,None of the above,If-else statements,B
PHP,Advanced,How does memory management work in PHP?,It involves allocation and deallocation of memory,It involves printing memory addresses,Memory management is handled by users,None of the above,A
Ruby,Advanced,How does memory management work in Ruby?,It involves printing memory addresses,Memory management is handled by users,It involves allocation and deallocation of memory,None of the above,C
C#,Advanced,Discuss performance optimization techniques in C#.,"Optimize algorithms, reduce time complexity",Avoid using any loops,Use only built-in functions,Write all code in one function,A
Bash,Intermediate,Explain functions in Bash.,Functions are reusable blocks of code,Functions are used to store variables,Functions are used for file I/O,Functions handle user input,A
C#,Beginner,What is an array in C#?,A set of variables,A collection of functions,A collection of elements of the same type,A list of random values,C
HTML & CSS,Advanced,What is garbage collection in HTML & CSS?,A method for checking memory leaks,None of the above,A manual process for freeing memory,Automatic memory management system,D
Scala,Advanced,What are advanced use cases for Scala?,File system management,None of the above,"High-performance computing, data analysis, AI",Basic website scripting,C
Elixir,Intermediate,Explain the concept of scope in Elixir.,Scope is the time limit for variable usage,Scope is how fast a program runs,None of the above,Scope defines where variables can be accessed,D
Bash,Beginner,What is an array in Bash?,A set of variables,A collection of functions,A collection of elements of the same type,A list of random values,C
HTML & CSS,Intermediate,Explain functions in HTML & CSS.,Functions handle user input,Functions are used to store variables,Functions are reusable blocks of code,Functions are used for file I/O,C
Perl,Intermediate,Explain functions in Perl.,Functions are reusable blocks of code,Functions are used to store variables,Functions are used for file I/O,Functions handle user input,A
C#,Intermediate,How do you handle errors in C#?,None of the above,If-else statements,Try-except blocks,Error-handling functions,C
Go,Advanced,What is garbage collection in Go?,Automatic memory management system,None of the above,A manual process for freeing memory,A method for checking memory leaks,A
Rust,Advanced,Discuss performance optimization techniques in Rust.,Write all code in one function,Avoid using any loops,"Optimize algorithms, reduce time complexity",Use only built-in functions,C
Perl,Intermediate,Explain the concept of scope in Perl.,Scope is how fast a program runs,Scope is the time limit for variable usage,Scope defines where variables can be accessed,None of the above,C
COBOL,Beginner,What is a list in COBOL?,A function for grouping variables,A way to store numbers,A data structure that stores ordered elements,A variable type for text,C
TypeScript,Advanced,What are advanced use cases for TypeScript?,None of the above,File system management,Basic website scripting,"High-performance computing, data analysis, AI",D
Haskell,Intermediate,Explain functions in Haskell.,Functions are reusable blocks of code,Functions are used to store variables,Functions handle user input,Functions are used for file I/O,A
Groovy,Intermediate,Explain functions in Groovy.,Functions are reusable blocks of code,Functions handle user input,Functions are used to store variables,Functions are used for file I/O,A
Rust,Beginner,What is the difference between a string and an integer in Rust?,A string is a sequence of characters,"A string is a number, and an integer is text",There is no difference,"An integer is a whole number, a string is text",D
Elixir,Advanced,What is garbage collection in Elixir?,A manual process for freeing memory,Automatic memory management system,A method for checking memory leaks,None of the above,B
TypeScript,Beginner,What does the print function do in TypeScript?,Displays a value on the screen,Stores data,Returns a value,Writes a value to a file,A
Go,Beginner,What is the syntax for a loop in Go?,while i < 10:,loop i in 10,for i = 0; i < 10; i++,for i in range(10):,D
SQL,Beginner,How do you define a function in SQL?,function_name() = {},function_name(){},function function_name(){},def function_name():,D
PHP,Advanced,What are advanced use cases for PHP?,"High-performance computing, data analysis, AI",Basic website scripting,File system management,None of the above,A
TypeScript,Intermediate,How do you define a class in TypeScript?,class: ClassName,class ClassName:,define ClassName(),function ClassName() {},B
Haskell,Advanced,How does memory management work in Haskell?,It involves printing memory addresses,Memory management is handled by users,None of the above,It involves allocation and deallocation of memory,D
Elixir,Intermediate,How do you handle errors in Elixir?,If-else statements,None of the above,Error-handling functions,Try-except blocks,D
Lua,Beginner,What is the syntax for a loop in Lua?,while i < 10:,for i = 0; i < 10; i++,for i in range(10):,loop i in 10,C
Rust,Advanced,How does memory management work in Rust?,It involves allocation and deallocation of memory,None of the above,Memory management is handled by users,It involves printing memory addresses,A
Kotlin,Advanced,Discuss performance optimization techniques in Kotlin.,Write all code in one function,"Optimize algorithms, reduce time complexity",Avoid using any loops,Use only built-in functions,B
PHP,Intermediate,Explain functions in PHP.,Functions are used for file I/O,Functions are used to store variables,Functions handle user input,Functions are reusable blocks of code,D
Groovy,Advanced,Explain multithreading or asynchronous operations in Groovy.,Executes one task at a time,Allows multiple tasks to run concurrently,Handles memory management,None of the above,B
PHP,Advanced,Explain multithreading or asynchronous operations in PHP.,Allows multiple tasks to run concurrently,Handles memory management,None of the above,Executes one task at a time,A
React,Advanced,Explain multithreading or asynchronous operations in React.,Allows multiple tasks to run concurrently,Handles memory management,Executes one task at a time,None of the above,A
PHP,Beginner,What is a list in PHP?,A data structure that stores ordered elements,A way to store numbers,A function for grouping variables,A variable type for text,A
Bash,Advanced,How does memory management work in Bash?,Memory management is handled by users,It involves allocation and deallocation of memory,None of the above,It involves printing memory addresses,B
SQL,Beginner,What are variables in SQL?,Used to store data,Used for function definitions,Used for user input,Used for program flow,A
Ruby,Intermediate,How do you handle errors in Ruby?,Try-except blocks,None of the above,Error-handling functions,If-else statements,A
COBOL,Beginner,How do you write comments in COBOL?,// comment,comment(),/* comment */,# comment,D
Ruby,Advanced,What is garbage collection in Ruby?,A manual process for freeing memory,Automatic memory management system,None of the above,A method for checking memory leaks,B
Perl,Advanced,How does memory management work in Perl?,It involves allocation and deallocation of memory,Memory management is handled by users,It involves printing memory addresses,None of the above,A
TypeScript,Advanced,Explain multithreading or asynchronous operations in TypeScript.,None of the above,Handles memory management,Allows multiple tasks to run concurrently,Executes one task at a time,C
Python,Advanced,What is garbage collection in Python?,A method for checking memory leaks,A manual process for freeing memory,Automatic memory management system,None of the above,C
Haskell,Intermediate,How do you handle errors in Haskell?,If-else statements,Try-except blocks,Error-handling functions,None of the above,B
TypeScript,Beginner,What does the print function do in TypeScript?,Displays a value on the screen,Writes a value to a file,Returns a value,Stores data,A
Elixir,Beginner,How do you import modules in Elixir?,using module_name,include module_name,require module_name,import module_name,D
Kotlin,Advanced,Discuss performance optimization techniques in Kotlin.,Write all code in one function,"Optimize algorithms, reduce time complexity",Avoid using any loops,Use only built-in functions,B
F#,Beginner,What is the syntax for a basic F# program?,System.out.println('Hello World'),console.log('Hello World'),print('Hello World'),echo 'Hello World',C
PHP,Beginner,What is the syntax for a basic PHP program?,console.log('Hello World'),System.out.println('Hello World'),echo 'Hello World',print('Hello World'),D
Dart,Advanced,What are advanced use cases for Dart?,"High-performance computing, data analysis, AI",File system management,None of the above,Basic website scripting,A
COBOL,Beginner,What is the difference between a string and an integer in COBOL?,"An integer is a whole number, a string is text",A string is a sequence of characters,"A string is a number, and an integer is text",There is no difference,A
Ruby,Intermediate,How do you handle errors in Ruby?,If-else statements,Error-handling functions,None of the above,Try-except blocks,D
Swift,Advanced,What is garbage collection in Swift?,None of the above,Automatic memory management system,A manual process for freeing memory,A method for checking memory leaks,B
F#,Intermediate,How do you handle errors in F#?,None of the above,If-else statements,Try-except blocks,Error-handling functions,C
Python,Beginner,What is the syntax for a loop in Python?,for i in range(10):,for i = 0; i < 10; i++,loop i in 10,while i < 10:,A
R,Intermediate,Explain the concept of scope in R.,Scope is the time limit for variable usage,None of the above,Scope is how fast a program runs,Scope defines where variables can be accessed,D
C++,Advanced,How does memory management work in C++?,None of the above,It involves printing memory addresses,Memory management is handled by users,It involves allocation and deallocation of memory,D
PHP,Beginner,What is the syntax for a loop in PHP?,while i < 10:,for i = 0; i < 10; i++,loop i in 10,for i in range(10):,D
Objective-C,Advanced,How does memory management work in Objective-C?,Memory management is handled by users,It involves printing memory addresses,It involves allocation and deallocation of memory,None of the above,C
Objective-C,Intermediate,Explain functions in Objective-C.,Functions are reusable blocks of code,Functions handle user input,Functions are used for file I/O,Functions are used to store variables,A
C,Advanced,Discuss performance optimization techniques in C.,"Optimize algorithms, reduce time complexity",Use only built-in functions,Avoid using any loops,Write all code in one function,A
Haskell,Beginner,What does the print function do in Haskell?,Writes a value to a file,Displays a value on the screen,Stores data,Returns a value,B
R,Intermediate,What are common data structures in R?,"Loops, arrays, classes","Lists, dictionaries, sets, tuples","Functions, arrays, objects",None of the above,B
C,Advanced,How does memory management work in C?,It involves printing memory addresses,Memory management is handled by users,It involves allocation and deallocation of memory,None of the above,C
R,Advanced,What is garbage collection in R?,A manual process for freeing memory,None of the above,Automatic memory management system,A method for checking memory leaks,C
Dart,Beginner,What is the syntax for a basic Dart program?,echo 'Hello World',console.log('Hello World'),print('Hello World'),System.out.println('Hello World'),C
C,Beginner,What is the syntax for a basic C program?,console.log('Hello World'),echo 'Hello World',print('Hello World'),System.out.println('Hello World'),C
Swift,Beginner,How do you import modules in Swift?,require module_name,using module_name,include module_name,import module_name,D
Swift,Advanced,What is garbage collection in Swift?,A method for checking memory leaks,None of the above,A manual process for freeing memory,Automatic memory management system,D
Dart,Advanced,What are advanced use cases for Dart?,File system management,"High-performance computing, data analysis, AI",Basic website scripting,None of the above,B
SQL,Intermediate,Explain the concept of scope in SQL.,Scope defines where variables can be accessed,Scope is the time limit for variable usage,None of the above,Scope is how fast a program runs,A
C,Beginner,What is the syntax for a basic C program?,System.out.println('Hello World'),echo 'Hello World',print('Hello World'),console.log('Hello World'),C
Scala,Intermediate,Explain the concept of scope in Scala.,Scope is the time limit for variable usage,Scope is how fast a program runs,Scope defines where variables can be accessed,None of the above,C
Lua,Intermediate,How do you define a class in Lua?,class: ClassName,class ClassName:,define ClassName(),function ClassName() {},B
F#,Intermediate,What are common data structures in F#?,"Lists, dictionaries, sets, tuples",None of the above,"Loops, arrays, classes","Functions, arrays, objects",A
COBOL,Advanced,How does memory management work in COBOL?,Memory management is handled by users,It involves allocation and deallocation of memory,None of the above,It involves printing memory addresses,B
Kotlin,Intermediate,How do you handle errors in Kotlin?,Try-except blocks,Error-handling functions,None of the above,If-else statements,A
PHP,Intermediate,How do you handle errors in PHP?,Error-handling functions,None of the above,Try-except blocks,If-else statements,C
Go,Intermediate,Explain functions in Go.,Functions handle user input,Functions are reusable blocks of code,Functions are used to store variables,Functions are used for file I/O,B
Swift,Advanced,What is garbage collection in Swift?,Automatic memory management system,A method for checking memory leaks,A manual process for freeing memory,None of the above,A
SQL,Advanced,How does memory management work in SQL?,It involves printing memory addresses,None of the above,It involves allocation and deallocation of memory,Memory management is handled by users,C
Kotlin,Advanced,What is garbage collection in Kotlin?,A manual process for freeing memory,None of the above,Automatic memory management system,A method for checking memory leaks,C
MATLAB,Intermediate,Explain functions in MATLAB.,Functions handle user input,Functions are used to store variables,Functions are reusable blocks of code,Functions are used for file I/O,C
COBOL,Beginner,What is the difference between a string and an integer in COBOL?,"A string is a number, and an integer is text",A string is a sequence of characters,There is no difference,"An integer is a whole number, a string is text",D
JavaScript,Beginner,What are variables in JavaScript?,Used to store data,Used for program flow,Used for function definitions,Used for user input,A
Lua,Beginner,What is a list in Lua?,A variable type for text,A data structure that stores ordered elements,A way to store numbers,A function for grouping variables,B
React,Beginner,What is a list in React?,A data structure that stores ordered elements,A variable type for text,A way to store numbers,A function for grouping variables,A
Scala,Beginner,How do you import modules in Scala?,import module_name,using module_name,include module_name,require module_name,A
C,Beginner,How do you import modules in C?,include module_name,using module_name,import module_name,require module_name,C
MATLAB,Advanced,How does memory management work in MATLAB?,Memory management is handled by users,It involves allocation and deallocation of memory,It involves printing memory addresses,None of the above,B
C,Intermediate,How do you define a class in C?,function ClassName() {},class ClassName:,class: ClassName,define ClassName(),B
